UniqueID ,Customer problems,Customer comments after the ticket is closed
250603.0000352,"Tui mua thẻ mà dung lượng ch về mây trừ tiềnm tui
","Ch thấy giải quyết
"
250603.0017979,"Nội dung KH: Mình đã liên hệ và ngân hàng đã liên hệ trực tiếp từ chiều ngày 28??,  vậy momo còn mình cần gửi cái gì, mail ngân hàng báo không gửi được và đã liên hệ trực tiếp với momo
 Hỗ trợ thêm từ: 250602.0011598","Mình gửi hỗ trợ từ ngày 27/5, tới nay ngày 16/6 vẫn chưa được giải quyết, làm theo yêu cầu của momo ra ngân hàng 2 lần để làm đơn, và bên ngân hàng cũng đã liên hệ với bên momo, mình gửi hình ảnh có dấu mộc đầy đủ theo yêu cầu từ ngày 9/6 nhưng hiện tại vẫn chưa được giải quyết hay có phản hồi, mã hỗ trợ của mình: #250609.0008516
"
250603.0014324,"tui định chuyển 736k từ momo về thẻ ngân hàng, nhưng tuu đã nhắn nhầm , vì stk được lưu , hai ngân hàng nằm kế nhau nên tui k nhận ra sớm , mong momo giúp tui lấy lại số tiền ",Vẫn k nhận dc lại tiền à
250603.0017114,"e muốn nạp tiền cho momo nên đã dùng tk TPbank trên điện thoại khác chuyển tiền qua mã qr mà momo hiện trên màn hình , e chọn ngân hàng chuyển đến là VbC tên thì e tự nhập là Hang chính là tên e , sau khi ck mà tài khoảng mono lại hiển thị là 0₫ là sao vậy ạ . Em có thể được hoàn trả tiền không ạ :(",E vẫn chưa nhận được số tiền ck vào tài khoảng momo . E đã gửi mã bill có kèm số tài khoảng momo e chuyển khoảng và nó cũng đúng với số tk momo cung cấp cho e . Vậy mà khi chuyển khoảng vào đúng stk do momo cung cấp thì e không nhận được tiền . E cần được hoản trả tiền 
250603.0013104,"Người gởi chuyển khoản momo nhưng mình không nhận được tiền về tài khoản momo
",Bên momo đã liên hệ người gởi và báo lỗi trong quá trình chuyển nên đã qua một tài khoản khác không phải mình! Kêu sẽ liên hệ với chủ tài khoản để thu hồi lại tiền và chuyển về bên người nhận là mình ! Giao dịch từ hôm 3/6 cho đến hôm nay 10/6 mình vẫn không nhận được tiền từ momo
250603.0001623,"Nội dung KH: Biên lai chuyển tiền
 Hỗ trợ thêm từ: 250602.0011921",Tệ
250603.0019247,tôi đã quét mã nạp vng roblox và khi màn hình hiện thanh toán thành công nhưng màn hình có mã ko cộng tiền,Người nhận cụ thể là tài khoản roblox của tôi vẫn chưa nhận được roblox và nếu vậy thì tôi cần hoàn tiền.
250603.0009754,"Giao dịch thất bại vẫn trừ tk chính
",24h rồi mà chưa xử lý cho t ah
250603.0008927,Đã thanh toán khác,chưa được xử lí
250603.0009774,Giao dịch thất bại nhưng không hoàn tiền về tài khoản momo,Số dư trong ví chưa được hoàn lại khi giao dịch thất bại
250603.0009012,"Tôi đã bị trừ tiền khi giao dịch. Giao dịch thất bại nhưng tôi vẫn chưa nhận được số tiền hoàn
",Tại sao lúc ở cửa hàng thì nhân viên bảo momo tự hoàn nhưng giờ về phải giải quyết báo cáo như này ạ. Cuối cùng vẫn chưa được hoàn tiền và giải quyết.
250603.0015708,"Kiểm tra giúp gd 14685811235, báo trừ ví nhưng bên nhận chưa có. Kiểm tra lịch sử không có gd này
",Hài long
